Periodo;AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA;PESCA Y SERVICIOS CONEXOS;EXPLOTACION  DE  MINAS  Y  CANTERAS;INDUSTRIA MANUFACTURERA;ELECTRICIDAD, GAS Y AGUA;CONSTRUCCION;COMERCIO AL POR MAYOR Y AL POR MENOR;HOTELERIA Y RESTAURANTES ;SERVICIOS DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES;INTERMEDIACION FINANCIERA Y OTROS SERVICIOS FINANCIEROS ;SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER;ENSEÑANZA;SERVICIOS SOCIALES Y DE SALUD;SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.;;Suma de remuneraciones mensuales por grupo de actividad. Nominales. En pesos
oct-12;24.140;#¡VALOR!;90.814;50.837;78.911;38.516;35.630;27.834;51.437;63.708;32.569;24.325;38.383;36.628;;
nov-12;26.039;#¡VALOR!;90.945;50.014;77.292;38.575;37.115;27.676;52.476;64.908;32.973;24.041;38.038;36.824;;
dic-12;36.505;#¡VALOR!;130.808;76.486;113.334;52.883;54.576;37.918;73.825;92.740;44.981;33.692;57.966;54.080;;
ene-13;25.997;#¡VALOR!;97.678;51.790;93.181;36.387;37.700;27.658;53.216;69.385;33.041;23.876;43.434;38.123;;
feb-13;25.626;#¡VALOR!;99.105;47.579;87.267;35.328;37.152;27.607;50.933;69.892;32.301;23.161;39.262;37.059;;
mar-13;25.277;#¡VALOR!;97.669;49.465;95.530;36.754;35.743;27.121;51.797;71.759;31.853;24.806;38.066;37.025;;
abr-13;25.385;#¡VALOR!;88.154;48.405;81.296;37.419;35.556;27.475;51.989;61.889;32.021;25.475;38.998;37.829;;
may-13;25.279;#¡VALOR!;95.021;48.882;84.248;37.817;38.014;28.171;52.922;76.724;33.169;25.293;37.340;37.759;;
jun-13;36.051;#¡VALOR!;125.945;70.284;116.603;51.961;54.320;39.623;73.870;99.478;45.244;34.739;54.584;53.691;;
jul-13;24.976;#¡VALOR!;90.648;51.703;83.113;39.739;37.256;28.690;55.291;63.927;33.234;24.970;37.712;38.037;;
ago-13;24.165;#¡VALOR!;85.052;49.249;78.192;37.745;36.436;28.249;53.204;64.461;31.404;24.776;38.332;37.460;;
sept-13;24.307;#¡VALOR!;86.794;49.232;85.460;36.324;36.034;27.709;52.700;64.022;32.214;24.804;38.776;37.427;;
oct-13;24.424;#¡VALOR!;86.943;49.832;78.703;36.200;35.392;27.785;51.580;62.788;31.304;24.504;38.168;36.872;;
nov-13;25.270;#¡VALOR!;87.058;49.448;76.793;35.542;36.235;27.153;51.789;68.949;31.293;24.010;37.716;36.699;;
dic-13;34.792;#¡VALOR!;126.870;74.566;113.295;48.872;52.154;36.590;71.757;89.891;43.759;33.467;57.058;52.837;;
ene-14;24.639;#¡VALOR!;91.918;48.685;#¡VALOR!;33.378;35.619;25.220;50.664;69.065;31.119;23.168;41.216;35.976;;
